RUN	conduitApp.performance.PerformanceTest	performancetest	1616162080713	| Performance test suite.	3.0.2
USER	Performance simulation	1	START	1616162084881	1616162084881
USER	Performance simulation	2	START	1616162084881	1616162084881
USER	Performance simulation	3	START	1616162084881	1616162084881
REQUEST	3		Create article: First title	1616162084977	1616162085489	OK	 
USER	Performance simulation	3	END	1616162084881	1616162085503
REQUEST	2		Create article: Third title	1616162084977	1616162085531	OK	 
USER	Performance simulation	2	END	1616162084881	1616162085535
REQUEST	1		Create article: Second title	1616162084977	1616162085543	OK	 
USER	Performance simulation	1	END	1616162084881	1616162085547
USER	Performance simulation	4	START	1616162085882	1616162085882
REQUEST	4		Create article: First title	1616162085908	1616162086453	OK	 
USER	Performance simulation	4	END	1616162085882	1616162086456
USER	Performance simulation	5	START	1616162086880	1616162086880
REQUEST	5		Create article: Second title	1616162086899	1616162087392	OK	 
USER	Performance simulation	5	END	1616162086880	1616162087393
USER	Performance simulation	6	START	1616162087882	1616162087882
REQUEST	6		Create article: Third title	1616162087902	1616162088423	OK	 
USER	Performance simulation	6	END	1616162087882	1616162088424
USER	Performance simulation	7	START	1616162088880	1616162088880
REQUEST	7		Create article: First title	1616162088896	1616162089391	OK	 
USER	Performance simulation	7	END	1616162088880	1616162089393
USER	Performance simulation	8	START	1616162089882	1616162089882
USER	Performance simulation	9	START	1616162090212	1616162090212
REQUEST	8		Create article: Second title	1616162089905	1616162090406	OK	 
USER	Performance simulation	8	END	1616162089882	1616162090408
USER	Performance simulation	10	START	1616162090552	1616162090552
REQUEST	9		Create article: Third title	1616162090227	1616162090764	OK	 
USER	Performance simulation	9	END	1616162090212	1616162090765
USER	Performance simulation	11	START	1616162090882	1616162090882
REQUEST	10		Create article: First title	1616162090568	1616162091066	OK	 
USER	Performance simulation	10	END	1616162090552	1616162091067
USER	Performance simulation	12	START	1616162091211	1616162091211
REQUEST	11		Create article: Second title	1616162090897	1616162091386	OK	 
USER	Performance simulation	11	END	1616162090882	1616162091387
USER	Performance simulation	13	START	1616162091552	1616162091552
REQUEST	12		Create article: Third title	1616162091225	1616162091722	OK	 
USER	Performance simulation	12	END	1616162091211	1616162091723
USER	Performance simulation	14	START	1616162091882	1616162091882
REQUEST	13		Create article: First title	1616162091566	1616162092081	OK	 
USER	Performance simulation	13	END	1616162091552	1616162092084
USER	Performance simulation	15	START	1616162092212	1616162092212
REQUEST	14		Create article: Second title	1616162091896	1616162092414	OK	 
USER	Performance simulation	14	END	1616162091882	1616162092415
USER	Performance simulation	16	START	1616162092551	1616162092551
REQUEST	15		Create article: Third title	1616162092228	1616162092793	OK	 
USER	Performance simulation	15	END	1616162092212	1616162092794
USER	Performance simulation	17	START	1616162092882	1616162092882
REQUEST	16		Create article: First title	1616162092566	1616162092953	OK	 
USER	Performance simulation	16	END	1616162092551	1616162092955
USER	Performance simulation	18	START	1616162093213	1616162093213
REQUEST	17		Create article: Second title	1616162092894	1616162093391	OK	 
USER	Performance simulation	17	END	1616162092882	1616162093393
REQUEST	18		Create article: Third title	1616162093225	1616162093549	OK	 
USER	Performance simulation	18	END	1616162093213	1616162093551
USER	Performance simulation	19	START	1616162093551	1616162093551
USER	Performance simulation	20	START	1616162093882	1616162093882
REQUEST	19		Create article: First title	1616162093564	1616162094090	OK	 
USER	Performance simulation	19	END	1616162093551	1616162094091
USER	Performance simulation	21	START	1616162094213	1616162094213
REQUEST	20		Create article: Second title	1616162093894	1616162094394	OK	 
USER	Performance simulation	20	END	1616162093882	1616162094395
USER	Performance simulation	22	START	1616162094552	1616162094552
REQUEST	21		Create article: Third title	1616162094225	1616162094744	OK	 
USER	Performance simulation	21	END	1616162094213	1616162094746
USER	Performance simulation	23	START	1616162094880	1616162094880
REQUEST	22		Create article: First title	1616162094569	1616162094914	OK	 
USER	Performance simulation	22	END	1616162094552	1616162094916
USER	Performance simulation	24	START	1616162095213	1616162095213
REQUEST	23		Create article: Second title	1616162094905	1616162095403	OK	 
USER	Performance simulation	23	END	1616162094880	1616162095404
USER	Performance simulation	25	START	1616162095541	1616162095541
REQUEST	24		Create article: Third title	1616162095224	1616162095753	OK	 
USER	Performance simulation	24	END	1616162095213	1616162095754
USER	Performance simulation	26	START	1616162095882	1616162095882
REQUEST	25		Create article: First title	1616162095561	1616162096086	OK	 
USER	Performance simulation	25	END	1616162095541	1616162096087
USER	Performance simulation	27	START	1616162096212	1616162096212
REQUEST	26		Create article: Second title	1616162095893	1616162096481	OK	 
USER	Performance simulation	26	END	1616162095882	1616162096482
USER	Performance simulation	28	START	1616162096552	1616162096552
REQUEST	27		Create article: Third title	1616162096227	1616162096719	OK	 
USER	Performance simulation	27	END	1616162096212	1616162096719
USER	Performance simulation	29	START	1616162096882	1616162096882
REQUEST	28		Create article: First title	1616162096563	1616162097079	OK	 
USER	Performance simulation	28	END	1616162096552	1616162097081
USER	Performance simulation	30	START	1616162097212	1616162097212
REQUEST	29		Create article: Second title	1616162096891	1616162097214	OK	 
USER	Performance simulation	29	END	1616162096882	1616162097215
USER	Performance simulation	31	START	1616162097551	1616162097551
REQUEST	30		Create article: Third title	1616162097228	1616162097715	OK	 
USER	Performance simulation	30	END	1616162097212	1616162097716
USER	Performance simulation	32	START	1616162097882	1616162097882
REQUEST	31		Create article: First title	1616162097565	1616162098075	OK	 
USER	Performance simulation	31	END	1616162097551	1616162098076
USER	Performance simulation	33	START	1616162098212	1616162098212
REQUEST	32		Create article: Second title	1616162097905	1616162098400	OK	 
USER	Performance simulation	32	END	1616162097882	1616162098403
USER	Performance simulation	34	START	1616162098550	1616162098550
REQUEST	33		Create article: Third title	1616162098231	1616162098751	OK	 
USER	Performance simulation	33	END	1616162098212	1616162098752
USER	Performance simulation	35	START	1616162098880	1616162098880
REQUEST	34		Create article: First title	1616162098573	1616162099069	OK	 
USER	Performance simulation	34	END	1616162098550	1616162099070
USER	Performance simulation	36	START	1616162099211	1616162099211
REQUEST	35		Create article: Second title	1616162098893	1616162099374	OK	 
USER	Performance simulation	35	END	1616162098880	1616162099374
USER	Performance simulation	37	START	1616162099552	1616162099552
REQUEST	36		Create article: Third title	1616162099224	1616162099572	OK	 
USER	Performance simulation	36	END	1616162099211	1616162099573
USER	Performance simulation	38	START	1616162100021	1616162100021
REQUEST	37		Create article: First title	1616162099565	1616162100053	OK	 
USER	Performance simulation	37	END	1616162099552	1616162100054
USER	Performance simulation	39	START	1616162100471	1616162100471
REQUEST	38		Create article: Second title	1616162100037	1616162100554	OK	 
USER	Performance simulation	38	END	1616162100021	1616162100554
USER	Performance simulation	40	START	1616162100603	1616162100603
REQUEST	39		Create article: Third title	1616162100483	1616162100815	OK	 
USER	Performance simulation	39	END	1616162100471	1616162100815
REQUEST	40		Create article: First title	1616162100614	1616162100938	OK	 
USER	Performance simulation	40	END	1616162100603	1616162100939
USER	Performance simulation	41	START	1616162101152	1616162101152
USER	Performance simulation	42	START	1616162101202	1616162101202
REQUEST	41		Create article: Second title	1616162101161	1616162101519	OK	 
USER	Performance simulation	41	END	1616162101152	1616162101519
REQUEST	42		Create article: Third title	1616162101214	1616162101563	OK	 
USER	Performance simulation	42	END	1616162101202	1616162101564
USER	Performance simulation	43	START	1616162101892	1616162101892
USER	Performance simulation	44	START	1616162102322	1616162102322
REQUEST	43		Create article: First title	1616162101902	1616162102425	OK	 
USER	Performance simulation	43	END	1616162101892	1616162102425
REQUEST	44		Create article: Second title	1616162102330	1616162102858	OK	 
USER	Performance simulation	44	END	1616162102322	1616162102859
USER	Performance simulation	46	START	1616162103372	1616162103372
USER	Performance simulation	45	START	1616162103372	1616162103372
USER	Performance simulation	47	START	1616162103450	1616162103450
REQUEST	46		Create article: First title	1616162103385	1616162103784	OK	 
USER	Performance simulation	46	END	1616162103372	1616162103785
USER	Performance simulation	48	START	1616162103822	1616162103822
USER	Performance simulation	49	START	1616162103922	1616162103922
REQUEST	45		Create article: Third title	1616162103385	1616162103944	OK	 
USER	Performance simulation	45	END	1616162103372	1616162103945
REQUEST	47		Create article: Second title	1616162103458	1616162104033	OK	 
USER	Performance simulation	47	END	1616162103450	1616162104034
USER	Performance simulation	50	START	1616162104212	1616162104212
REQUEST	48		Create article: Third title	1616162103830	1616162104372	OK	 
USER	Performance simulation	48	END	1616162103822	1616162104374
REQUEST	49		Create article: First title	1616162103932	1616162104461	OK	 
USER	Performance simulation	49	END	1616162103922	1616162104462
REQUEST	50		Create article: Second title	1616162104226	1616162104743	OK	 
USER	Performance simulation	50	END	1616162104212	1616162104744
USER	Performance simulation	51	START	1616162105242	1616162105242
USER	Performance simulation	52	START	1616162105301	1616162105301
USER	Performance simulation	53	START	1616162105622	1616162105622
REQUEST	51		Create article: Third title	1616162105250	1616162105693	OK	 
